;nome;num_colecao;extras;lingua;condicao;preco_unitario
0;Gyarados;(6, 102);Foil;Português;HP;11.0
1;Gyarados;(6, 102);Foil;Português;HP;19.0
2;Gyarados;(6, 102);Foil;Português;D;19.9
3;Gyarados;(6, 102);Foil;Português;HP;19.9
4;Gyarados;(6, 102);Foil;Português;HP;19.99
5;Gyarados;(6, 102);Foil;Português;MP;22.5
6;Gyarados;(6, 102);Foil;Português;MP;24.9
7;Gyarados;(6, 102);Foil;Português;MP;24.99
8;Gyarados;(6, 102);Foil;Português;MP;34.9
9;Gyarados;(6, 102);Foil;Português;HP;35.9
10;Gyarados;(6, 102);Foil;Português;HP;36.89
11;Gyarados;(6, 102);Foil;Inglês;D;39.95
12;Gyarados;(6, 102);Foil;Português;HP;49.95
13;Gyarados;(6, 102);Foil;Português;SP;51.0
14;Gyarados;(6, 102);Foil;Inglês;D;54.9
15;Gyarados;(6, 102);Foil;Português;NM;59.9
16;Gyarados;(6, 102);Foil;Português;MP;59.9
17;Gyarados;(6, 102);Foil;Português;SP;61.63
18;Gyarados;(6, 102);Foil;Inglês;HP;61.9
19;Gyarados;(6, 102);Foil;Português;SP;72.89
20;Gyarados;(6, 102);Foil;Português;MP;89.95
21;Gyarados;(6, 102);Foil;Inglês;MP;120.0
22;Gyarados;(6, 102);Foil;Português;SP;124.95
23;Gyarados;(6, 102);Foil;Inglês;SP;127.5
24;Gyarados;(6, 102);Foil;Inglês;MP;129.95
25;Gyarados;(6, 102);Foil;Português;SP;135.0
26;Gyarados;(6, 102);Foil, Edition One;Português;HP;179.9
27;Gyarados;(6, 102);Foil;Japonês;MP;199.9
28;Gyarados;(6, 102);Foil, Edition One;Português;MP;199.9
29;Gyarados;(6, 102);Foil, Edition One;Português;D;199.99
30;Gyarados;(6, 102);Foil, Edition One;Português;HP;220.0
31;Machamp;(8, 102);Foil, Edition One;Português;HP;5.95
32;Machamp;(8, 102);Foil, Edition One;Português;D;6.5
33;Machamp;(8, 102);Foil, Edition One;Português;D;7.0
34;Machamp;(8, 102);Foil, Edition One;Português;D;7.9
35;Machamp;(8, 102);Foil, Edition One;Português;D;7.99
36;Machamp;(8, 102);Foil, Edition One;Português;D;8.99
37;Machamp;(8, 102);Foil, Edition One;Português;HP;9.5
38;Machamp;(8, 102);Foil, Edition One;Português;D;9.9
39;Machamp;(8, 102);Foil, Edition One;Português;D;9.9
40;Machamp;(8, 102);Foil, Edition One;Português;HP;12.9
41;Machamp;(8, 102);Foil, Edition One;Inglês;D;14.9
42;Machamp;(8, 102);Foil, Edition One;Inglês;D;15.9
43;Machamp;(8, 102);Foil, Edition One;Inglês;HP;16.9
44;Machamp;(8, 102);Foil, Edition One;Português;D;18.9
45;Machamp;(8, 102);Foil, Edition One;Espanhol;SP;19.9
46;Machamp;(8, 102);Foil, Edition One;Francês;D;19.95
47;Machamp;(8, 102);Foil, Edition One;Português;HP;19.99
48;Machamp;(8, 102);Foil, Edition One;Inglês;D;34.95
49;Machamp;(8, 102);Foil, Edition One;Português;MP;35.0
50;Machamp;(8, 102);Edition One;Português;SP;42.5
51;Machamp;(8, 102);Foil, Edition One;Português;HP;49.95
52;Machamp;(8, 102);Foil;Japonês;NM;79.95
53;Mewtwo;(10, 102);Foil;Português;D;20.89
54;Mewtwo;(10, 102);Foil;Português;HP;29.9
55;Mewtwo;(10, 102);Foil;Português;MP;34.99
56;Mewtwo;(10, 102);Foil;Português;HP;39.9
57;Mewtwo;(10, 102);Foil;Português;MP;39.9
58;Mewtwo;(10, 102);Foil;Inglês;MP;42.5
59;Mewtwo;(10, 102);Foil;Inglês;HP;44.5
60;Mewtwo;(10, 102);Foil;Português;MP;49.9
61;Mewtwo;(10, 102);Foil;Português;D;51.9
62;Mewtwo;(10, 102);Foil;Português;HP;57.9
63;Mewtwo;(10, 102);Foil;Português;MP;59.42
64;Mewtwo;(10, 102);Foil;Português;HP;59.9
65;Mewtwo;(10, 102);Foil;Inglês;D;69.9
66;Mewtwo;(10, 102);Foil;Português;D;69.95
67;Mewtwo;(10, 102);Foil;Francês;D;69.95
68;Mewtwo;(10, 102);Foil;Português;D;79.99
69;Mewtwo;(10, 102);Foil;Alemão;NM;89.9
70;Mewtwo;(10, 102);Foil;Português;HP;119.95
71;Mewtwo;(10, 102);Foil;Inglês;MP;129.9
72;Mewtwo;(10, 102);Foil;Japonês;NM;149.9
73;Mewtwo;(10, 102);Foil;Português;MP;149.95
74;Mewtwo;(10, 102);Foil;Português;MP;169.9
75;Mewtwo;(10, 102);Foil;Português;NM;199.9
76;Mewtwo;(10, 102);Foil;Português;SP;219.99
77;Mewtwo;(10, 102);Foil;Inglês;SP;239.95
78;Mewtwo;(10, 102);Foil, Edition One;Inglês;D;399.9
79;Mewtwo;(10, 102);Foil, Shadowless;Inglês;HP;699.95
80;Mewtwo;(10, 102);Foil, Edition One;Português;SP;719.99
81;Mewtwo;(10, 102);Foil, Edition One;Francês;MP;799.9
82;Mewtwo;(10, 102);Foil, Edition One, Shadowless;Inglês;HP;4999.9
83;Beedrill;(17, 102);;Português;D;2.0
84;Beedrill;(17, 102);;Português;D;2.45
85;Beedrill;(17, 102);;Português;HP;2.55
86;Beedrill;(17, 102);;Português;HP;2.99
87;Beedrill;(17, 102);;Inglês;HP;3.0
88;Beedrill;(17, 102);;Inglês;HP;3.4
89;Beedrill;(17, 102);;Português;D;4.0
90;Beedrill;(17, 102);;Português;MP;5.0
91;Beedrill;(17, 102);;Português;HP;6.0
92;Beedrill;(17, 102);;Português;D;6.9
93;Beedrill;(17, 102);;Inglês;HP;7.0
94;Beedrill;(17, 102);;Português / Inglês;MP;7.65
95;Beedrill;(17, 102);;Português;MP;8.0
96;Beedrill;(17, 102);;Inglês;MP;8.2
97;Beedrill;(17, 102);;Português;MP;8.4
98;Beedrill;(17, 102);;Inglês;MP;8.91
99;Beedrill;(17, 102);;Português;HP;9.9
100;Beedrill;(17, 102);;Português;MP;11.48
101;Beedrill;(17, 102);;Português;MP;11.9
102;Beedrill;(17, 102);;Português;SP;12.0
103;Beedrill;(17, 102);;Português;SP;12.99
104;Beedrill;(17, 102);;Português;MP;13.9
105;Beedrill;(17, 102);;Português;SP;14.9
106;Beedrill;(17, 102);;Inglês;MP;14.9
107;Beedrill;(17, 102);;Inglês;SP;17.0
108;Beedrill;(17, 102);;Português;SP;18.0
109;Beedrill;(17, 102);;Português;NM;23.39
110;Beedrill;(17, 102);Edition One;Português;MP;42.5
111;Beedrill;(17, 102);;Português;M;45.0
112;Beedrill;(17, 102);Edition One;Português;HP;74.9
113;Beedrill;(17, 102);Edition One;Português;D;109.9
114;Beedrill;(17, 102);Edition One;Português;HP;119.9
115;Beedrill;(17, 102);Edition One;Português;MP;139.9
116;Beedrill;(17, 102);Edition One;Português;NM;149.9
117;Dragonair;(18, 102);;Português;HP;6.0
118;Dragonair;(18, 102);;Português;HP;6.5
119;Dragonair;(18, 102);;Português;MP;14.95
120;Dragonair;(18, 102);;Inglês;SP;14.99
121;Dragonair;(18, 102);;Português / Inglês;MP;16.9
122;Dragonair;(18, 102);;Português;HP;16.92
123;Dragonair;(18, 102);Edition One;Português;SP;159.9
124;Electabuzz;(20, 102);;Português;MP;7.0
125;Electabuzz;(20, 102);;Inglês;HP;7.5
126;Electabuzz;(20, 102);;Português;MP;8.5
127;Electabuzz;(20, 102);;Português;D;9.9
128;Electabuzz;(20, 102);;Português;HP;9.9
129;Electabuzz;(20, 102);;Português;MP;10.0
130;Electabuzz;(20, 102);;Português;HP;11.9
131;Electabuzz;(20, 102);;Português / Inglês;MP;12.9
132;Electabuzz;(20, 102);;Português;HP;14.9
133;Electabuzz;(20, 102);;Inglês;SP;19.99
134;Electabuzz;(20, 102);;Português / Inglês;SP;25.0
135;Electabuzz;(20, 102);Edition One;Português;D;29.9
136;Electabuzz;(20, 102);;Inglês;HP;30.9
137;Electabuzz;(20, 102);Edition One;Português;HP;35.9
138;Electabuzz;(20, 102);Edition One;Português / Inglês;MP;99.0
139;Electabuzz;(20, 102);Edition One;Português;MP;120.0
140;Pidgeotto;(22, 102);;Inglês;D;4.0
141;Pidgeotto;(22, 102);;Português;D;4.0
142;Pidgeotto;(22, 102);;Inglês;D;4.99
143;Pidgeotto;(22, 102);;Português;D;12.5
144;Pidgeotto;(22, 102);;Português / Inglês;MP;14.9
145;Pidgeotto;(22, 102);;Português;D;17.9
146;Pidgeotto;(22, 102);;Português;HP;19.9
147;Pidgeotto;(22, 102);;Inglês;SP;21.25
148;Pidgeotto;(22, 102);;Inglês;D;23.9
149;Pidgeotto;(22, 102);;Português / Inglês;MP;25.9
150;Pidgeotto;(22, 102);;Inglês;D;25.9
151;Pidgeotto;(22, 102);Edition One;Português;SP;30.0
152;Pidgeotto;(22, 102);;Inglês;MP;45.0
153;Pidgeotto;(22, 102);;Inglês;SP;49.9
154;Pidgeotto;(22, 102);;Português;M;81.0
155;Pidgeotto;(22, 102);Shadowless;Inglês;HP;99.5
156;Arcanine;(23, 102);;Português;HP;3.98
157;Arcanine;(23, 102);;Português;MP;7.0
158;Arcanine;(23, 102);;Português;MP;7.98
159;Arcanine;(23, 102);;Português;SP;14.9
160;Arcanine;(23, 102);Edition One;Português;D;14.9
161;Arcanine;(23, 102);;Inglês;SP;15.9
162;Arcanine;(23, 102);;Português;NM;16.9
163;Arcanine;(23, 102);;Português;SP;17.91
164;Arcanine;(23, 102);;Português;SP;19.99
165;Arcanine;(23, 102);;Português;NM;26.91
166;Arcanine;(23, 102);;Português;M;53.1
167;Arcanine;(23, 102);Edition One, Shadowless;Inglês;D;199.5
168;Charmeleon;(24, 102);;Português;HP;0.49
169;Charmeleon;(24, 102);;Português;HP;0.49
170;Charmeleon;(24, 102);;Português;MP;0.99
171;Charmeleon;(24, 102);;Português;D;0.99
172;Charmeleon;(24, 102);;Português;HP;1.02
173;Charmeleon;(24, 102);;Português;D;1.9
174;Charmeleon;(24, 102);;Português;SP;2.0
175;Charmeleon;(24, 102);;Português;HP;2.0
176;Charmeleon;(24, 102);;Português;SP;2.2
177;Charmeleon;(24, 102);;Português;HP;2.3
178;Charmeleon;(24, 102);;Português;D;2.5
179;Charmeleon;(24, 102);;Português;D;2.5
180;Charmeleon;(24, 102);;Inglês;D;2.5
181;Charmeleon;(24, 102);;Português;MP;2.7
182;Charmeleon;(24, 102);;Português;SP;3.4
183;Charmeleon;(24, 102);;Português;HP;3.59
184;Charmeleon;(24, 102);;Inglês;D;3.9
185;Charmeleon;(24, 102);;Inglês;HP;4.3
186;Charmeleon;(24, 102);;Inglês;MP;4.5
187;Charmeleon;(24, 102);;Português;HP;4.9
188;Charmeleon;(24, 102);;Português;HP;4.99
189;Charmeleon;(24, 102);;Português;MP;5.0
190;Charmeleon;(24, 102);Edition One;Português;D;5.0
191;Charmeleon;(24, 102);;Inglês;SP;5.1
192;Charmeleon;(24, 102);;Português;MP;6.29
193;Charmeleon;(24, 102);;Inglês;MP;7.99
194;Charmeleon;(24, 102);;Português;HP;8.9
195;Charmeleon;(24, 102);;Português;SP;9.81
196;Charmeleon;(24, 102);;Português;SP;9.99
197;Charmeleon;(24, 102);;Português;SP;11.25
198;Charmeleon;(24, 102);;Português;MP;12.9
199;Charmeleon;(24, 102);;Inglês;SP;13.95
200;Charmeleon;(24, 102);;Português;SP;15.0
201;Charmeleon;(24, 102);;Inglês;MP;15.9
202;Charmeleon;(24, 102);;Inglês;NM;17.0
203;Charmeleon;(24, 102);;Português;HP;17.9
204;Charmeleon;(24, 102);;Português;NM;17.91
205;Charmeleon;(24, 102);;Português;SP;17.91
206;Charmeleon;(24, 102);;Português;MP;18.9
207;Charmeleon;(24, 102);;Inglês;NM;19.99
208;Charmeleon;(24, 102);;Inglês;NM;22.49
209;Charmeleon;(24, 102);;Português;SP;24.9
210;Charmeleon;(24, 102);;Inglês;SP;24.9
211;Charmeleon;(24, 102);;Português;NM;32.39
212;Charmeleon;(24, 102);;Português;NM;34.9
213;Charmeleon;(24, 102);;Inglês;NM;36.0
214;Charmeleon;(24, 102);;Português;NM;39.9
215;Charmeleon;(24, 102);;Português;M;72.0
216;Charmeleon;(24, 102);Edition One;Português;HP;89.9
217;Charmeleon;(24, 102);Edition One;Português;MP;89.9
218;Charmeleon;(24, 102);Edition One;Português;SP;189.9
219;Dratini;(26, 102);;Português;D;0.25
220;Dratini;(26, 102);;Português;HP;0.5
221;Dratini;(26, 102);;Português;SP;0.6
222;Dratini;(26, 102);;Português;HP;0.72
223;Dratini;(26, 102);;Português;D;0.79
224;Dratini;(26, 102);;Inglês;SP;0.85
225;Dratini;(26, 102);;Português;HP;0.99
226;Dratini;(26, 102);;Inglês;MP;1.0
227;Dratini;(26, 102);;Português;HP;1.02
